"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 22:00:54 GMT 2024","Fri Mar 01 22:00:57 GMT 2024","3343","chromium","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 22:01:29 GMT 2024","Fri Mar 01 22:01:33 GMT 2024","3337","Microsoft Edge","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 22:01:56 GMT 2024","Fri Mar 01 22:01:58 GMT 2024","2090","Google Chrome","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 22:00:57 GMT 2024","Fri Mar 01 22:01:00 GMT 2024","2686","chromium","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 22:01:15 GMT 2024","Fri Mar 01 22:01:29 GMT 2024","14871","Microsoft Edge","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 22:00:49 GMT 2024","Fri Mar 01 22:00:54 GMT 2024","5048","chromium","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 22:01:02 GMT 2024","Fri Mar 01 22:01:06 GMT 2024","4576","firefox","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 22:01:06 GMT 2024","Fri Mar 01 22:01:10 GMT 2024","4056","firefox","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 22:01:52 GMT 2024","Fri Mar 01 22:01:56 GMT 2024","3486","Google Chrome","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 22:01:10 GMT 2024","Fri Mar 01 22:01:13 GMT 2024","2524","firefox","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 22:01:33 GMT 2024","Fri Mar 01 22:01:35 GMT 2024","2141","Microsoft Edge","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 22:01:36 GMT 2024","Fri Mar 01 22:01:52 GMT 2024","16101","Google Chrome","todo.spec.ts","","","","should be able to add a new todo",""
