"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 21:53:43 GMT 2024","Fri Mar 01 21:53:47 GMT 2024","3552","chromium","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 21:54:07 GMT 2024","Fri Mar 01 21:54:29 GMT 2024","22661","Microsoft Edge","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 21:53:58 GMT 2024","Fri Mar 01 21:54:02 GMT 2024","4053","firefox","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 21:53:54 GMT 2024","Fri Mar 01 21:53:58 GMT 2024","4592","firefox","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 21:54:33 GMT 2024","Fri Mar 01 21:54:35 GMT 2024","2454","Microsoft Edge","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 21:54:37 GMT 2024","Fri Mar 01 21:54:41 GMT 2024","3652","Google Chrome","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 21:53:47 GMT 2024","Fri Mar 01 21:53:50 GMT 2024","3382","chromium","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 21:53:50 GMT 2024","Fri Mar 01 21:53:52 GMT 2024","2268","chromium","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 21:54:02 GMT 2024","Fri Mar 01 21:54:05 GMT 2024","2488","firefox","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 21:54:44 GMT 2024","Fri Mar 01 21:54:46 GMT 2024","2246","Google Chrome","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 21:54:29 GMT 2024","Fri Mar 01 21:54:33 GMT 2024","3362","Microsoft Edge","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 21:54:41 GMT 2024","Fri Mar 01 21:54:44 GMT 2024","3287","Google Chrome","todo.spec.ts","","","","should be able to delete a todo",""
